id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,coordinate
8.11629E+17,Rental unit in Brooklyn · 4 bedrooms · 1 bed · 2 baths,489878101,Megan,Brooklyn,Bedford-Stuyvesant,Private room,67,30,1,9/1/2023,1,7,304,1,,"40.6779104989744,-73.9105588722331"
8.11638E+17,Rental unit in New York · 2 bedrooms · 2 beds · 1 bath,303771161,Jonathan,Manhattan,East Village,Entire home/apt,199,30,0,,,8,333,0,,"40.7296427889938,-73.9893042678853"
8.11663E+17,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,336050514,Ashton,Manhattan,East Village,Private room,140,30,15,9/15/2023,2.24,1,248,15,,"40.7260431259686,-73.9894391697685"
8.1167E+17,Rental unit in New York · 1 bedroom · 1 bed · 2 shared baths,497746652,Leo,Manhattan,Harlem,Private room,88,30,1,5/21/2023,0.22,6,353,1,,"40.8023805714473,-73.9581819674177"
8.11691E+17,Rental unit in Brooklyn · ★5.0 · 2 bedrooms · 2 beds · 1 bath,7320160,Smyles And Diara,Brooklyn,Bushwick,Entire home/apt,150,30,6,9/4/2023,1.48,1,213,6,,"40.7010551196236,-73.9260138582593"
8.11773E+17,Home in Brooklyn · ★4.94 · 6 bedrooms · 7 beds · 3 baths,480704914,Ray,Brooklyn,Crown Heights,Entire home/apt,1111,30,18,9/24/2023,2.41,9,299,18,,"40.6679785678664,-73.9288675806472"
8.11784E+17,Home in Brooklyn · 1 bedroom · 1 bed · 1 shared bath,4143186,Francois,Brooklyn,Bushwick,Private room,50,30,0,,,2,275,0,,"40.6963567,-73.9073806"
8.11788E+17,Rental unit in New York · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,445219407,Micheal,Manhattan,East Village,Private room,126,30,24,9/24/2023,3.32,1,324,24,,"40.7279354616517,-73.9825065032135"
8.11795E+17,Rental unit in Brooklyn · ★5.0 · 2 bedrooms · 2 beds · 1 bath,110861450,Echelon Living,Brooklyn,Canarsie,Entire home/apt,385,2,32,9/21/2023,5.71,1,287,32,OSE-STRREG-0000221,"40.6319323378578,-73.8917625091913"
8.11812E+17,Home in The Bronx · ★4.81 · 2 bedrooms · 7 beds · 1 bath,166115856,Brenda,Bronx,Williamsbridge,Entire home/apt,175,30,27,9/24/2023,3.38,1,361,27,,"40.8817273909233,-73.8580488756876"
8.11861E+17,Home in Queens · ★4.87 · 2 bedrooms · 2 beds · 2 baths,26649292,Haja,Queens,Jamaica Hills,Entire home/apt,175,30,31,9/4/2023,4.23,1,332,31,,"40.7099016038789,-73.7995745037048"
8.11941E+17,Rental unit in New York · 1 bedroom · 2 beds · 1 bath,484159181,Polina And Sahil,Manhattan,Midtown,Entire home/apt,240,30,1,3/26/2023,0.16,3,89,1,,"40.758119231607,-73.9643865455859"
8.12019E+17,Rental unit in Brooklyn · 1 bedroom · 1 bed · 1.5 baths,343050628,Fideral,Brooklyn,East Flatbush,Entire home/apt,1500,30,0,,,4,365,0,,"40.6592707616994,-73.9389861662507"
8.12086E+17,Rental unit in Brooklyn · 1 bedroom · 1 bed · 1 shared bath,496944241,Desmond,Brooklyn,Prospect Heights,Private room,100,30,0,,,3,0,0,,"40.6739537659622,-73.9643505917783"
8.12092E+17,Rental unit in Brooklyn · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,496944241,Desmond,Brooklyn,Crown Heights,Private room,100,30,4,8/20/2023,0.72,3,0,4,,"40.6753206105358,-73.9625282128115"
8.12142E+17,Home in Queens · ★4.94 · 2 bedrooms · 2 beds · 1 private bath,497666911,Leila,Queens,South Ozone Park,Private room,324,30,18,9/24/2023,2.93,1,358,18,,"40.673361299331,-73.810931249951"
8.12155E+17,Rental unit in Queens · 4 bedrooms · 1 bed · 0 shared baths,305240193,June,Queens,Ridgewood,Private room,41,30,0,,,428,181,0,,"40.7035894959578,-73.8987937224476"
8.12181E+17,Rental unit in Queens · ★4.86 · 2 bedrooms · 2 beds · 1 private bath,9460898,Arman,Queens,Astoria,Private room,264,2,29,9/27/2023,4.03,1,152,29,,"40.7682241489253,-73.9275159279089"
8.12231E+17,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,37583303,Alex,Manhattan,Hell's Kitchen,Entire home/apt,645,30,0,,,5,79,0,,"40.7705825059057,-73.9909103721089"
8.12264E+17,Rental unit in Brooklyn · ★4.64 · 1 bedroom · 1 bed · 1 private bath,338738466,Ashley,Brooklyn,Bushwick,Private room,75,30,39,9/18/2023,4.76,1,336,39,,"40.6931624198479,-73.9202501966023"
8.12304E+17,Rental unit in Brooklyn · 1 bedroom · 1 bed · 1 shared bath,487718285,Noah,Brooklyn,Bushwick,Private room,60,30,2,2/13/2023,0.25,2,364,2,,"40.7002571915221,-73.9295063936891"
8.12308E+17,Rental unit in Queens · ★4.92 · 3 bedrooms · 4 beds · 2 baths,405159598,Andrea,Queens,Jamaica,Entire home/apt,278,30,39,9/9/2023,5.18,1,333,39,,"40.7011271317383,-73.8123481084572"
8.12328E+17,Serviced apartment in New York · 4 bedrooms · 8 beds · 4 baths,496944100,RoomPicks,Manhattan,Midtown,Entire home/apt,794,1,0,,,307,268,0,Exempt,"40.7635700841276,-73.9809455426592"
8.12328E+17,Serviced apartment in New York · 4 bedrooms · 8 beds · 4 baths,496944100,RoomPicks,Manhattan,Midtown,Entire home/apt,794,1,0,,,307,268,0,Exempt,"40.7641917081949,-73.9803742587863"
8.12329E+17,Serviced apartment in New York · 4 bedrooms · 4 beds · 4 baths,496944100,RoomPicks,Manhattan,Midtown,Entire home/apt,80,1,1,7/8/2023,0.34,307,118,1,Exempt,"40.7622984652165,-73.9775389385874"
8.12329E+17,Serviced apartment in New York · 4 bedrooms · 8 beds · 4 baths,496944100,RoomPicks,Manhattan,Midtown,Entire home/apt,794,1,1,9/18/2023,1,307,268,1,Exempt,"40.7636379374564,-73.9816263483738"
8.12329E+17,Serviced apartment in New York · 4 bedrooms · 4 beds · 4 baths,496944100,RoomPicks,Manhattan,Midtown,Entire home/apt,80,1,1,7/24/2023,0.42,307,118,1,Exempt,"40.76161,-73.97674"
8.1233E+17,Serviced apartment in New York · 4 bedrooms · 8 beds · 4 baths,496944100,RoomPicks,Manhattan,Midtown,Entire home/apt,576,1,0,,,307,254,0,Exempt,"40.7656777130077,-73.9817014121612"
8.1233E+17,Serviced apartment in New York · 4 bedrooms · 4 beds · 4 baths,496944100,RoomPicks,Manhattan,Midtown,Entire home/apt,80,1,0,,,307,118,0,Exempt,"40.7618350822839,-73.9775303465271"
8.12331E+17,Serviced apartment in New York · 4 bedrooms · 8 beds · 4 baths,496944100,RoomPicks,Manhattan,Midtown,Entire home/apt,576,1,0,,,307,254,0,Exempt,"40.7636095724404,-73.9804816423164"
8.12331E+17,Serviced apartment in New York · 3 bedrooms · 3 beds · 3 baths,496944100,RoomPicks,Manhattan,Midtown,Entire home/apt,100,1,1,8/3/2023,0.49,307,130,1,Exempt,"40.7616260054187,-73.9772126809421"
8.12331E+17,Serviced apartment in New York · 3 bedrooms · 3 beds · 3 baths,496944100,RoomPicks,Manhattan,Midtown,Entire home/apt,100,1,0,,,307,130,0,Exempt,"40.7621574322953,-73.9772687584471"
8.12331E+17,Serviced apartment in New York · 3 bedrooms · 6 beds · 3 baths,496944100,RoomPicks,Manhattan,Midtown,Entire home/apt,595,1,0,,,307,273,0,Exempt,"40.7650474886924,-73.9803176806018"
8.12332E+17,Serviced apartment in New York · 3 bedrooms · 3 beds · 3 baths,496944100,RoomPicks,Manhattan,Midtown,Entire home/apt,100,1,0,,,307,130,0,Exempt,"40.763611134877,-73.9771895096351"
